country,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
AFG,33,32.322,65.119,Hydro,1995,1097.993002,136.8722,42.165,-0.004,262.113,65.012,344.064,123.77,162.9,97.39,137.76,119.5
AFG,10,31.67,65.795,Solar,2003,0,9.81078,132.025,1.82,112.291,70.784,4.22,18.43,17.48,18.25,17.7,18.29
AFG,10,31.623,65.792,Solar,2008,0,44.651,49.902,6.938,75.858,30.631,9.244,18.64,17.58,19.1,17.62,18.72
AFG,66,34.556,69.4787,Hydro,1995,14.18625,9.005,6.878,-10.376,91.133,0,202.167,225.06,203.55,146.9,230.18,174.91
AFG,100,34.641,69.717,Hydro,1995,0,0.006,16.172,0.147,70.584,77.326,252.964,406.16,357.22,270.99,395.38,350.8
AFG,11.55,34.4847,70.3633,Hydro,1956,16.13,9.911,34.546,154.308,165.704,130.3861111,219.77,58.77,54.42,42.71,59.72,46.12
AFG,42,34.5638,69.1134,Gas,1994,5940.673003,3875.32315,3473.883,1958.188,2210.93751,1068.363019,271.326,408.57,156.54,229.01,293.99,482.96
AFG,6,35.9416,68.71,Hydro,1956,1124.88202,12.80565,73.41,310.059,491.61955,192.262998,493.037,21.99,21.19,18.4,25.34,19.74
AFG,22,34.5865,69.7757,Hydro,1958,14.18625,11.382,21.053,51.971438,195.753,187.201,128.924001,123.23,82.87,69.15,93.83,80
ALB,27,39.9116,20.1047,Hydro,1965,1.204,1.686,5.733,-10.376,50.679,60.037,0,105.17,75.26,79.5,105.45,88.45
ALB,500,42.2514,20.0431,Hydro,1978,1791.008889,2739.307778,3132.142993,3672.186,2222.08,2596.042004,376.501,1976.01,1276.61,1503.72,1795.15,1648.24
ALB,600,42.1033,19.8224,Hydro,1985,529.24,992.595,916.874002,869.137,240.761,583.368,2419.793,2072.13,1618.73,1805.63,2434.84,1982.72
ALB,5,41.3428,19.8964,Hydro,1951,0,0.323,2.704,0,0,1.78,4.635,20.37,12.89,14.64,20.04,15.23
ALB,24,41.6796,19.8305,Hydro,1963,1654.489,1448.272,1576.127,1296.640709,856.677,1851.223,701.466004,93.52,69.86,77.51,96.2,83.57
ALB,25,41.6796,19.8936,Hydro,1958,0,0,0.15,0,82.934,51.387,3.318,97.42,72.77,80.74,100.21,87.06
ALB,250,42.0137,19.6359,Hydro,1971,27.47833333,4.434,1.959,7.846,80.666,77.326,533.519,895.02,561.94,614.47,897.47,703.64
ALB,98,40.4874,19.434,Other,1983,0,123.768005,219.044,2.6177777780000002,150.759,4.955,155.985,249.03,117.52,232.79,304.99,358.44
DZA,20,27.908,-0.317,Solar,2015,2.005,0,4.174,0.254,5.543,8.411,5.809,2.88,35.22,34.22,35.33,35.17
DZA,20,35.88,5.475,Solar,2014,0,0.004,4.041,47.92,0,-0.29,3.025,7.68,38.68,37.56,38.37,38.75
DZA,520,35.8665,6.0262,Gas,2013,635.245002,659.633999,549.428004,292.525631,236.258,556.027,707.748,1965.53,1648.96,2127.41,1978.61,2171.28
DZA,20,34.532,0.804,Solar,2013,0,10.782,70.822,24.33,75.515,-0.331,21.655,3.92,34.85,33.67,34.54,35.46
DZA,20,34.346,3.164,Solar,2016,0,0,3.4172,1.705,59.142,51.73714,0.111,10.17,33.42,33.58,34.75,34.81
DZA,53,34.342,3.169,Solar,2015,443.487,758.709,528.873,519.479,318.991,349.699,157.475,8.25,80.98,81.84,85.66,85.55
DZA,20,34.861,4.204,Solar,2014,21.33264,14.614,35.2074,0.059,2.251,0.071,3.387,4.9,33.64,33.68,33.63,33.75
DZA,43.5,27.908,-0.317,Solar,2011,1.434,2.152,0,2.184,4.132,3.303,5.75,10.01,73.79,72.11,74.36,74.02
DZA,71,36.8924,7.7634,Gas,2010,0,0,4.182,18.677,164.072,155.655,154.939,216.69,244.06,239.4,10.06,296.46
DZA,5,26.9989,1.3351,Solar,2015,0,555.4222222,0,31.792,334.674001,237.885,0.599,7.66,8.93,8.71,8.72,8.64
DZA,560,36.5988,3.1375,Gas,2010,1295.124039,1142.762025,658.15,869.137,657.608,628.13,1117.107,1798.22,2178.92,2144.89,2357.88,2338.3
DZA,10,31.285,8.565,Solar,2015,75.18168,11.357,0,6.056,4.437,1.208,2.076,1.92,17.31,16.85,17.16,16.67
DZA,100,36.5914,2.9223,Gas,1980,35.801,32.055,26.514,41.02,64.879,0,40.51992,359.19,379.35,416.3,280.24,417.55
DZA,450,36.596,2.878,Gas,2016,13.129,770.18,446.233,859.772,999.17,0,1261.301999,1408.15,1223.42,1758.35,1538.68,1878.99
DZA,450,35.5658,-0.9386,Gas,2016,1997.74,2184.907,35,698.491,471.946,312.965002,31.422,1867.16,1720.87,1980.09,2067.82,1878.99
DZA,15,36.225,6.11,Solar,2014,25.219,0.024,0,52.135,96.175,41.998,4.311,18.87,28.56,28.61,28.69,28.34
DZA,60,33.727,2.811,Solar,2015,23.054,883.103,631.819001,103.28,88.78,193.912,1188.925048,98.96,96.03,95.17,93.44,95.16
DZA,292,35.7666,7.3619,Gas,1998,1906.186,2066.584,2349.6726,2125.527,1866.144,1980.788996,1886.216,1223.23,806.5,1003.14,1155.84,1219.25
DZA,30,32.602,5.834,Solar,2016,9.2,4.363,22.72248,1.752,21.263,28.121,5.75,47.3,49.38,47.99,50.88,48.72
DZA,1200,36.5767,2.0797,Gas,2009,2638.807956,2598.647,2833.48996,2633.020045,3080.131,2998.86035,2029.12105,4959.7,5809.09,3528.29,5095.97,5010.64
DZA,418,36.7489,3.0823,Gas,2012,1051.092,1119.27,746.062,342,46.751,290.314,13.103,1424.05,1855.62,1669.85,1741.36,1745.37
DZA,72,31.6703,6.0531,Gas,2013,485.852,736.583002,0,154.29,91.273,31.245,8.708,243.32,233.46,238.21,134.37,300.63
DZA,600,31.6703,6.0531,Gas,2015,529.24,614.452,476.105,73.131513,510.214,759.132,2100.031,2307.77,1567.27,2260.87,1692.05,2505.32
DZA,200,31.7877,6.0517,Gas,1988,0.0049,10.614,84.854,121.05,84.026,214.17,343.23,606.58,722.52,644.03,558.38,835.1
DZA,492,31.8065,5.9924,Gas,2009,395.561998,289.53166,488.434,520.325,565.435005,579.31885,271.326,1188.48,1666.16,1842.21,1511.42,2054.36
DZA,20,33.123,3.356,Solar,2012,0,7.058,59.763,22.276,0,6.149,4.475,6.81,35.77,34.3,35.45,34.69
DZA,106.6,34.342,3.169,Solar,2011,238.39422,58.266,101.936,39.044,37.147,24.463,146.341,137.6,163.86,166.11,173.56,173.33
DZA,73.8,35.68,5.9861,Solar,2014,1.434,2.95515,27.201,0.037,18.273,4.618,51.42,107.37,129.42,130.32,131.08,130.11
DZA,24,36.4739,5.2719,Hydro,1952,0,0,9.056,0,61.267,39.973,0.696,30.81,33.08,27.86,32.34,30.82
DZA,5,27.183,2.504,Solar,2016,210.523,417.610002,412.476,159.198,161.593,186.067,59.223,5.92,9.34,8.63,8.8,8.75
DZA,588,36.8139,5.876,Gas,2006,3214.979,3421.202,2853.46,4751.779,0,1100.67895,1702.262,2422.15,2192.86,2535.3,1654.55,2455.21
DZA,345,35.8064,-0.2476,Gas,2008,266.976,33.433,300.766,418.07,693.296,673.306,253.181,941.5,1159.61,286.6,1294.41,1440.56
DZA,1200,36.885,8.0778,Gas,2013,278.3,1468.675,2531.958,3477.951,3438.21,0,2937.705,3393.08,4499.96,4863.57,3977.68,5010.64
DZA,20,32.945,0.555,Solar,2011,17.191,7.556,17.189,0,55.28321,6.221,9.244,9.82,33.91,33.62,34.41,33.84
DZA,396,34.5056,6.9848,Gas,2015,529.24,530.041,1333.092,1320.487,856.677,1060.949002,2201.556,1265.65,1234.42,1974.38,1447.81,1653.51
DZA,840,35.8,-0.1924,Gas,2012,742.763,590.121,0,324.607,136.06108,446.263,1525.056,2896.84,3258.51,3641.92,2982.07,3507.45
DZA,184,35.8,-0.1924,Gas,2012,234.951,358.037,74.591,263.02,926.488,340.041,774.615,1119.9,823.46,968.53,1031.86,768.29
DZA,980,35.7071,4.4804,Gas,1996,1422.25,1119.27,574.616,787.061,321.791,845.262,189.363999,3439.88,4069.61,4036.49,3777.06,4092.02
DZA,19.9,33.274,-0.372,Solar,2006,94.20333333,135.669,24.626,4.692,73.288,14.645,12.111,10.5,33.71,33.18,34.48,33.31
DZA,15,35.919,7.87,Solar,2014,12.419,0.01,116.92245,14.80194444,47.309,44.913,21.882,14.68,27.9,28.76,28.54,28.38
DZA,20,35.68,5.9861,Solar,2014,192.021,225.23885,192.618,35.4,48.641,53.254,-0.038,64.38,37.41,37.26,37.62,37.38
DZA,672,36.8509,3.6983,Gas,2006,621.71,1054.42,1014.127,873.154,523.977998,1092.665,2278.498,2256.94,2756.71,2880.22,2376.18,2805.96
DZA,20,36.01,5.035,Solar,2011,-0.099,25.046,455.677,461.962,158.423,297.993,197.182,11.94,38.61,37.36,38.14,38.71
DZA,73,35.7095,-0.6319,Gas,1974,6.194,0.0097,7.912,27.711,45.793,58.274,10.754,48.48,237.67,246.94,162.33,304.81
DZA,5,26.768,0.137,Solar,2003,465.038,359.792729,682.792,2321.20565,1720.248,1204.947035,1104.875,14.68,8.8,8.84,8.82,8.92
DZA,465,35.7835,0.5407,Gas,2010,547.522,316.298021,112.302,138.3,98.33585,0,701.466004,2015.07,1500.53,1150.43,1500.57,1941.62
DZA,484,36.1399,2.9296,Gas,2007,344.842,249.851,390.789,612.344,465.3615,717.6397222,499.588,2319.01,2230.55,2145.34,2434.84,2020.96
DZA,815,36.8789,6.9366,Gas,2006,1549.131944,1064.462046,27.36,723.5783333,878.567,1.737,18.748,3000.67,3252.67,3067.35,2044.7,3403.06
