country,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
AFG,33,32.322,65.119,Hydro,NA,NA,NA,NA,NA,NA,NA,NA,123.77,162.9,97.39,137.76,119.5
AFG,10,31.67,65.795,Solar,NA,NA,NA,NA,NA,NA,NA,NA,18.43,17.48,18.25,17.7,18.29
AFG,10,31.623,65.792,Solar,NA,NA,NA,NA,NA,NA,NA,NA,18.64,17.58,19.1,17.62,18.72
AFG,66,34.556,69.4787,Hydro,NA,NA,NA,NA,NA,NA,NA,NA,225.06,203.55,146.9,230.18,174.91
AFG,100,34.641,69.717,Hydro,NA,NA,NA,NA,NA,NA,NA,NA,406.16,357.22,270.99,395.38,350.8
AFG,11.55,34.4847,70.3633,Hydro,NA,NA,NA,NA,NA,NA,NA,NA,58.77,54.42,42.71,59.72,46.12
AFG,42,34.5638,69.1134,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,6,35.9416,68.71,Hydro,NA,NA,NA,NA,NA,NA,NA,NA,21.99,21.19,18.4,25.34,19.74
AFG,22,34.5865,69.7757,Hydro,NA,NA,NA,NA,NA,NA,NA,NA,123.23,82.87,69.15,93.83,80
ALB,27,39.9116,20.1047,Hydro,1965,NA,NA,NA,NA,NA,NA,NA,105.17,75.26,79.5,105.45,88.45
ALB,500,42.2514,20.0431,Hydro,1978,NA,NA,NA,NA,NA,NA,NA,1976.01,1276.61,1503.72,1795.15,1648.24
ALB,600,42.1033,19.8224,Hydro,1985,NA,NA,NA,NA,NA,NA,NA,2072.13,1618.73,1805.63,2434.84,1982.72
ALB,5,41.3428,19.8964,Hydro,1951,NA,NA,NA,NA,NA,NA,NA,20.37,12.89,14.64,20.04,15.23
ALB,24,41.6796,19.8305,Hydro,1963,NA,NA,NA,NA,NA,NA,NA,93.52,69.86,77.51,96.2,83.57
ALB,25,41.6796,19.8936,Hydro,1958,NA,NA,NA,NA,NA,NA,NA,97.42,72.77,80.74,100.21,87.06
ALB,250,42.0137,19.6359,Hydro,1971,NA,NA,NA,NA,NA,NA,NA,895.02,561.94,614.47,897.47,703.64
ALB,98,40.4874,19.434,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZA,20,27.908,-0.317,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.22,34.22,35.33,35.17
DZA,20,35.88,5.475,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.68,37.56,38.37,38.75
DZA,520,35.8665,6.0262,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2171.28
