"country","capacity_mw","latitude","longitude","commissioning_year","generation_gwh_2013","generation_gwh_2014","generation_gwh_2015","generation_gwh_2016","generation_gwh_2017","generation_gwh_2018","generation_gwh_2019","estimated_generation_gwh_2013","estimated_generation_gwh_2014","estimated_generation_gwh_2015","estimated_generation_gwh_2016","estimated_generation_gwh_2017","primary_fuelBiomass","primary_fuelCoal","primary_fuelCogeneration","primary_fuelGas","primary_fuelGeothermal","primary_fuelHydro","primary_fuelNuclear","primary_fuelOil","primary_fuelOther","primary_fuelPetcoke","primary_fuelSolar","primary_fuelStorage","primary_fuelWaste","primary_fuelWave.and.Tidal","primary_fuelWind"
1,33,32.322,65.119,1995,1097.993002,136.8722,42.165,-0.004,262.113,65.012,344.064,123.77,162.9,97.39,137.76,119.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,10,31.67,65.795,2003,0,9.81078,132.025,1.82,112.291,70.784,4.22,18.43,17.48,18.25,17.7,18.29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,10,31.623,65.792,2008,0,44.651,49.902,6.938,75.858,30.631,9.244,18.64,17.58,19.1,17.62,18.72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,66,34.556,69.4787,1995,14.18625,9.005,6.878,-10.376,91.133,0,202.167,225.06,203.55,146.9,230.18,174.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,100,34.641,69.717,1995,0,0.006,16.172,0.147,70.584,77.326,252.964,406.16,357.22,270.99,395.38,350.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,11.55,34.4847,70.3633,1956,16.13,9.911,34.546,154.308,165.704,130.3861111,219.77,58.77,54.42,42.71,59.72,46.12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,42,34.5638,69.1134,1994,5940.673003,3875.32315,3473.883,1958.188,2210.93751,1068.363019,271.326,408.57,156.54,229.01,293.99,482.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,6,35.9416,68.71,1956,1124.88202,12.80565,73.41,310.059,491.61955,192.262998,493.037,21.99,21.19,18.4,25.34,19.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,22,34.5865,69.7757,1958,14.18625,11.382,21.053,51.971438,195.753,187.201,128.924001,123.23,82.87,69.15,93.83,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,500,42.2514,20.0431,1978,1791.008889,2739.307778,3132.142993,3672.186,2222.08,2596.042004,376.501,1976.01,1276.61,1503.72,1795.15,1648.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,600,42.1033,19.8224,1985,529.24,992.595,916.874002,869.137,240.761,583.368,2419.793,2072.13,1618.73,1805.63,2434.84,1982.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,5,41.3428,19.8964,1951,0,0.323,2.704,0,0,1.78,4.635,20.37,12.89,14.64,20.04,15.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
